Id,Title,Description,LikeCount,DislikeCount,ViewCount,FavoriteCount,CommentCount
GbV5tnf2_zg,US Looks for New Way Forward on North Korea,Concerns about North Korea and its increasingly threatening behavior dominated discussions during US Secretary of State Rex Tillersons first trip to Asia ,40,8,12138,0,86
upQpq2bUFoU,Paris prosecutor says attacker shouted Im here to die for Allah,According to Paris prosecutor Francois Molins attacker Ziyed Ben Belgacem made a reference to Allah as he held an air pistol to the head of a female soldier at ,30,38,6121,0,8
Al0zXpe_lCY,Uttar Pradesh CM Yogi Adityanaths First Message To State,Firebrand BJP MP Yogi Adityanath took over as the 21st Chief Minister of Uttar Pradesh along with 49 cabinet members The Uttar Pradesh Government also ,26,7,7229,0,12
gkt_ZDuFUxo,Rex Tillerson pledges closer USChina ties,Rex Tillerson pledges closer USChina ties Rex Tillerson the US secretary of state has met Chinas President Xi Jinping for the first time Tillerson spoke of the ,53,8,7726,0,41
u27kKC9vH10,Chuck Berry dies at his Missouri home  GN Headlines,Daily headlines from the UAE and around the world brought to you by Gulf News Chuck Berry dies at his Missouri home Yogi Adityanath sworn in as 21st chief ,2,0,643,0,0
TM5V8tvJsJo,Yogi Adityanath Holds Top Meeting Ahead Of Swearing In Ceremony,Firebrand BJP MP Yogi Adityanath is all set to take oath as the 21st Chief Minister of Uttar Pradesh The Uttar Pradesh Government will have Keshav Prasad ,10,1,2412,0,6
SyFXqIskFBw,LIVE Launch Broadcast Delta IV WGS9,Watch live as ULAs Delta IV rocket lifts off with the ninth Wideband Global SATCOM WGS9 mission for the US Air Force,2737,615,502089,0,825
hq_BT1sd7oc,Legendary musician Chuck Berry dies at 90,Chuck Berry a music pioneer often called the Father of Rock n Roll was found dead Saturday at a residence outside St Louis police in St Charles County ,2624,165,300465,0,1317
w_OfSo1G7dg,Kellyanne Conway Reveals Secret Service Code Name Blueberry,White House adviser Kellyanne Conway has new name from the Secret Service Click here to read more ,42,88,11741,0,135
yvMV4on1GPM,Michigan coach John Beilein talks Golden State comparison and threepointer stratgey,Michigan coach John Beilein talks Golden State comparison and threepointer stratgey,3,3,1988,0,1
xymJSdPomB0,GOP and Democrats criticize Trumps Meals on Wheels budget cut,Meals on Wheels the popular service that provides food to the elderly faces a sharp funding cut under President Donald Trumps budget proposal,64,35,7706,0,132
lxoxAfuTdgk,Katamarayudu Pre Release Function  Pawan Kalyan  Shruti Hassan  Anup Rubens  TV9,Katamarayudu Pre Release Function  Pawan Kalyan Shruti Hassan Rao Ramesh Katamarayudu is an upcoming Telugu language film directed by Kishore ,9957,1437,542189,0,137
izFdE3G_TSg,China and US discuss North Korea tensions,Chinas Foreign Minister has warned of a dangerous crossroads over North Korea Wang Yi was speaking after what he called candid and productive talks with ,68,7,10155,0,35
geR29Vd9j1c,NoBake Eclair Dessert Recipe  Episode 1148,To get this complete recipe with instructions and measurements check out my website httpwwwLauraintheKitchencom Instagram ,6135,117,141741,0,311
Ps8urSHb4p8,Military action against N Korea an option Tillerson,Military action by the United States against nucleararmed North Korea is an option on the table if the threat from the rogue regime escalates Washingtons top ,15,14,5399,0,21
d0V7CRKHxII,Trump tells Merkel at least we have something in common on wiretapping,President Donald Trump said on Friday he very seldom regrets anything he tweets brushing off questions about his claims without evidence that his ,40,26,9414,0,60
u-x33GI2sgY,Trump and Merkel’s awkward handshake moment,President Donald Trumps first meeting with Chancellor Angela Merkel produced a slightly awkward moment when the president didnt shake the German ,3,0,4249,0,6
jjuhPrbvbGg,Trumps awkward visit with Merkel,Body language expert Chris Ulrich decodes the unspoken messages between President Donald Trump and German Chancellor Angela Merkel during their ,397,303,61443,0,800
yr0nrl2v1s0,Chaffetz Trump should share his wiretap evidence,Rep Jason Chaffetz tells CNNs Wolf Blitzer that the Trump administration has not provided any evidence to him or the House Oversight Committee that former ,162,68,17225,0,256
sm0A-zRp9q4,Is there anything more US can do to contain North Korea,Reaction on The First 100 Days after Rex Tillerson says hes taking nothing off the table,161,25,18749,0,157
Bl6_Hpwv0CA,Chaffetz Secret Service failure beyond comprehension,Rep Jason Chaffetz tells CNNs Wolf Blitzer that a man who made it onto the White House grounds came close enough to rattle a door handle a detail not ,82,40,9779,0,130
5JFZNzvOZlU,Breaking down Michigans win over OK State matchup vs Louisville,Michigan beat Oklahoma State 9291 and will face Louisville on Sunday in the NCAA Tournament,12,12,6692,0,14
ivLuMFxrCoY,Lt Col Maginnis Diplomacy has utterly failed the US,Reaction to Secretary Tillersons threat to North Korea,64,5,2202,0,55
0fvmdAfSSLA,The Week in Review  17 March 2017,Top stories from UN News during the week of 13  17 March 2017 featuring The 61st Session of the UN Commission on the Status of Women the conflict in ,11,3,729,0,1
93dDP-O4VsI,WE HAVE 10 DAYS TO GET A MILLION DOLLAR,GOFUNDME  httpswwwgofundmecomLOVEARMYFORSOMALIA American Refugee Committee httparcrelieforgourworksomalia Teen Vogue ,176117,11149,3287035,0,16022
2AM0ns6CYoM,HUMAN FLAGPOLE CHALLENGE muscle test,Get YOUR pair of Maverick Socks HERE ▻ httpwwwFeatsockscomLogan Watch Yesterdays Vlog ▻ httpsyoutubevSc6MOEvR28 Today I became a ,87535,492,1275012,0,4087
HKm_Nigtguc,Healthcare bill will pass pretty quickly Trump,At a news conference with German Chancellor Angela Merkel President Donald Trump says the Republican healthcare plan is coming together beautifully ,7,6,744,0,11
zP1v0tLEBUM,Daniel Jacobs Gennady Golovkin Has Always Looked Vulnerable To Me  SI NOW  Sports Illustrated,Boxing middleweight champion Daniel Jacobs shares his thoughts on Gennady Golvkin and explains why he is the man to give GGG his first loss Subscribe to ,39,28,33035,0,55
Odowe39T3n8,Laptop With Trump Tower Floor Plans Stolen From Secret Service,A laptop was stolen from the Secret Service Click here to read more ,21,21,6242,0,53
uHfyVeI9h1M,Source Intruder was at WH for 15 minutes,The accused White House fence jumper was on the White House south grounds for 15 minutes or more before he was caught a Secret Service source tells ,64,22,6461,0,76
lxXMcK4ptfI,Multi faith protest rallies against Trumps Muslim Ban 2 0 in New York,Hundreds of protesters gathered in Washington Square Park New York Thursday to rally in support of immigrants rights and to condemn US President Donald ,60,316,8735,0,371
glZnkpIDWSE,Zelda Ocarina Controlled Home Automation  Zelda Ocarina of Time  Sufficiently Advanced,With Zelda Breath of the Wild out on the Nintendo Switch I made a home automation system based off the Zelda series using the ocarina from The Legend of ,51089,760,1334696,0,2174
BoQo6mG3zIM,Meals on Wheels recipient How else will I eat,Van Jones speaks to Christa Patton a 68 yearold woman who benefits from the Meals of Wheels program about Pres Trumps budget,216,71,11027,0,444
Fd2ecX4NKrk,Health care bill Trumps budget plan face uphill battle in Congress,The White House and Paul Ryan say they now recognize changes must be made to the GOP health care plan in order to pass Congress while Trumps budget ,19,17,3417,0,27
HTW7FB5Cd0I,Uproar in New Zealand after sniffer dog shot,There is uproar in New Zealand after a runaway sniffer dog was shot dead by police on the tarmac at Auckland Airport Sixteen domestic and international flights ,6,21,3492,0,38
iWs00Ko0Ztc,Trump plans 28 percent cut in budget for diplomacy foreign aid,The United Nations Secretary General has issued a measured response after seeing a blueprint of the proposed White House Federal Budget that points to ,15,3,1594,0,13
ADOpVzEnk6w,Tillerson Patience With North Korea Has Ended,US Secretary of State Rex Tillerson said the policy of strategic patience with North Korea has ended Originally published at ,68,17,14180,0,62
Yka7whNZt-Q,Mount Etna explodes showering BBC crew with rocks and magma,A BBC camera crew captured the exact moment Mount EtnahttpsenwikipediaorgwikiMountEtna exploded as they filmed at Etnas summit on the island of ,27,1,9953,0,7
