Id,Title,Description,LikeCount,DislikeCount,ViewCount,FavoriteCount,CommentCount
0Ci-gX1j5Gs,Energy FC Jersey Unveil  Sidekicks Draft,Get the first glimpse of Energy FCs new kits and welcome this years Sidekicks,6,0,123,0,0
k-xeGdgcoiI,Globalism Is In Its Death Throes,Alex Jones breaks down the last gasp of the globalist system as it attempts to swindle the American people into the big lie that the Russians are responsible for ,90,2,644,0,41
O5DofIFjvHk,✦ LIVE STREAM  HUGE WIN Gambling from Laughlin Nevada ✦ Live Chat with Brian Christopher,LIVE STREAM  HUGE WIN Gambling from Laughlin Nevada ✦ Live Chat with Brian Christopher Have a Question you want answered For a 2 of more ,321,11,2647,0,16
NHbQ0bXoscM,スクイーズ何が入ってるかな？ライブ❣️,,22,10,310,0,0
QWgniYD58Fw,Terror Attacks Will Continue Under The Name Political Correctness,Owen Shroyer and Rob Dew discuss the London terror attack on March 22 2017 Help us spread the word about the liberty movement were reaching millions ,218,9,1589,0,184
9-gdg-WGGrQ,Florida🌈,follow me on instagram tommyfyeah,675,30,3599,0,42
IArqbf3m17U,Senuvo,,15,1,142,0,0
ezajb8RkjR4,Return of Yellow Lantern Scarecrow Green Lanterns Rebirth Vol 3 Darkest Knights,Twitter httpstwittercomcomicsexplained httpswwwfacebookcomcomicsexplained  Green Lantern is the name of a number of superheroes appearing in ,400,2,2857,0,96
KoUPgVnfikc,Softball vs Washington  Mar 22nd 2017,,0,0,148,0,0
QqFcn0FIcdE,E as Câmeras do Moto G5 Plus e o Dual Pixel e Foco,CLIQUE AQUI E INSCREVASE NO CANAL httpswwwyoutubecomchannelUCPCyygrwf8kGa3ZUvrdBw ↪Aqui abaixo Vídeos engraçados do Canal ,93,3,588,0,0
TnK9BkGP-eo,Fala Leão 31 Roupeiro Ronald Ferraz,,37,0,316,0,0
A6hOjUjn9u8,London terror attack What we know,Four people were killed and scores wounded by a lone attacker near the United Kingdoms Parliament in London Wednesday The attacker was shot and killed ,427,84,4599,0,610
y3leige7fBs,Patriots Answer The Rallying Call,Roger Stone takes calls and hears from patriots across America who are standing up for liberty Help us spread the word about the liberty movement were ,347,13,3600,0,139
z7sbSkHKqwU,LEGO LAND CUSTOM ZOMBIES  BLACK OPS 3 CUSTOM ZOMBIES GAMEPLAY BO3 Zombies,DONATE AND BE ON STREAM httpwwwTipNoahJ456com DONT COPYRIGHT ME LEGO PLS THX Call of Duty Black Ops 3 Zombies CUSTOM ZOMBIES ,3103,68,31690,0,2
053LaIOcUIM,Roger Stone Demands Official Response To Accusation Of Russian Ties,Roger Stone demands that those who accuse him of Russian ties answer him and show him the proof they have of his Russian connections Help us spread the ,302,16,2214,0,154
h49A2iL-vmQ,Trump Some What Vindicated over Nunes IntelDavid Brock Suffers Heart Attack,Help us spread the word about the liberty movement were reaching millions help us reach millions more Share the free live video feed link with your friends ,197,5,1818,0,83
q1HRajSXsc0,Nunes’ Bombshell Surveillance Intel Show Deep State Ties To Shut Down Trump,The Nunes intel drop shows without a shadow of a doubt that the deep state is doing everything they can to stop Donald Trump Follow David on Twitter ,250,10,1820,0,85
McZgqS4tRMQ,Ya Somos Mas De 4000,Suscribete Haciendo Clic Aqui »»» httpsgoogltvgzbb No te pierdas nuestros videos que te haran reir trataremos de mejorar cada dia para que estés ,70,4,740,0,7
vNeEU0-YtCE,Police 4 dead dozens injured in London attack,British police say the London Parliament attacker killed 4 people before being killed himself as they provide an update on the investigation,713,259,6797,0,1208
AjzwRIMVb98,HOOKED UP ON A GIANT,,1175,32,9656,0,126
aqcAWE14Pec,LIVE CLG vs Liquid Inferno  ESL Pro League  proeslgamingcomcsgo,For more information visit httpproeslgamingcomcsgoproleague Follow us on Twitter and Facebook for updates httpwwwtwittercomeslcs ,507,29,3752,0,0
Nukqrsokc5g,Attack outside the UK parliament leaves four dead,The attacker mowed people down along Westminster Bridge with a vehicle and attacked one policeman with a long knife before being shot dead Benjamin Hall ,350,44,2855,0,414
y5LCbwV17eY,More Birth Control Access Saves Taxpayers 12 Billion,There are many humane reasons to support folks access to birth control It helps people have control over their bodies by allowing them to decide whether they ,373,11,3840,0,198
dRn7stbhdL8,Live De Quarta  Incorporação e Linhas De Trabalho,,65,0,483,0,0
vmYu6TcoeFU,RyanOcare Rejects Vets Keeps Alien Coverage,The fix was in 4 years ago Regardless of who won the 2012 election Obama or Romney Americans were going to get ObamaCare or its clone RomneyCare ,282,17,2392,0,229
NKz7ch47i2Q,Mark Rowley UK authorities on London attack outside New Scotland Yard,Assistant Commissioner Mark Rowley UK authorities on London attack outside New Scotland Yard March 22 2017 Westminster attack latest UK Parliament ,2,0,87,0,5
Z1aGltKxevI,Congressman What About Podesta Putin Ties,Paul Manafort is in the in the deep states crosshairs as they allege he worked for Putin But while Manaforts client was a “friend” of Putin Hillarys Campaign ,180,7,1683,0,64
4UPnW7rUtI8,Maryland Sanctuary for Rape Murder Gangs,Maryland wants to be the first Sanctuary State for Foreign Citizens Criminally Trespassing aka “undocumented immigrants” The Rockville Rape and the spate ,329,11,3400,0,146
8ai2hTJC8zU,FBI Goes Russian — Channels Stalin,Bring me the man Ill find the crime” is the real Russian connection — the connection to Comeys politicized tactics at the FBI Follow David on Twitter ,239,6,1960,0,76
y7l5EJu3klQ,Are LeftWing YouTubers Getting DOMINATED  Discussion w David Pakman,Subscribe To David httpswwwyoutubecomuserMidweekPolitics,1164,77,12410,0,901
goVxFaLMVFM,LaVar Ball to LeBron James  He Warned Me For What,A day after LeBron James told him to keep my kids name out of your mouth LaVar Ball doubled down on his opinion that the children of star athletes dont ,191,20,1477,0,206
fMzu4UBSzQw,Mike Epps Divorce Proves That Marrying Blk Wmn Is A Mistake,CLICK HERE TO DONATE httpwwwsotofundme click here to donate to paypal httppaypalmetommysotomayor click here to donate on indie gogo ,1923,105,16213,0,360
ATuZN1a-neM,Mike Tyson Full Fight Marathon,Bet Sports Win Cash httpbitly2lmlBkN Watch the best fights of Mike Tysons career Subscribe for more,107,7,798,0,0
lUwDplevjxQ,Westminster Attack 4 People Including Police Officer Attacker Killed 20 Injured,For more information log on to httpwwwchannelstvcom,0,0,616,0,139
lvH7b5JIuY0,May We will all move forward never giving in to terror,British prime minister comments on London terror attack,627,234,7749,0,1063
z3lVisl1aWc,57 Of US Voters Cant Name ANY Supreme Court Justices,Only 43 percent of like US voters can name a Supreme Court justice according to a CSPAN survey released Sunday The survey comes as President Trumps ,529,20,5482,0,444
lsqUIAFqYAs,SILENT ASSASSINS Ghost Recon Wildlands,Ghost Recon Wildlands walkthrough gameplay part 7 with Typical Gamer Tom Clancys Ghost Recon Wildlands gameplay on PC ▻ Watch GTA 5 Logan ,5129,87,46451,0,5
Ie4De25LFuU,Minister who lost brother in Bali bombing tried to save policeman,Individual stories of bravery are starting to emerge after the terrorist attacks outside the British parliament A Foreign Office minister is being praised for ,2,3,114,0,2
P4_0whh9O7w,Day 3 of Gorsuch’s confirmation hearing in 4 minutes,Judge Neil Gorsuch continued with his third day of Supreme Court nomination hearings on March 22 answering broad questions but rankling Democrats with ,7,1,135,0,11
tI6VLPaaU5A,Watercolor LIVE,,6146,85,56079,0,2027
1RDLNOvCFOk,We won’t let Westminster attack stop us from engaging with public – MP,The London attack appeared to happen in multiple stages first a car reportedly mowed down pedestrians on Westminster Bridge before crashing into the ,203,52,2040,0,415
LrLa_fJfysI,Deus nos livra do dia mau  Pra Fernanda,Palavra da Pra Fernanda iPAN  Profetizando às Amigas  160317 Acompanhe tudo sobre o ministério e a igreja Profetizando às Nações eventos ,158,0,1194,0,23
MxBrTldSslc,GTLive Solving FNAC 3s FINAL MYSTERY  Five Nights at Candys 3,Missed Part 2 of FNAC 3 Watch it ▻▻ httpsgoogloqsre8 Watch MORE on the GTLive Channel ▻▻ httpbitly1LkSBnz USE GTLIVE and matpatgt to ,5056,152,41632,0,1
S9I9XVhzsZ4,London attack four dead 20 injured in terrorist incident near Parliament,Four people have been killed and at least 20 injured in London after a car ploughed into pedestrians and an attacker stabbed a police officer near the Houses of ,962,106,9612,0,1475
GT_Nanf58ho,32217 White House Press Briefing,White House Press Briefings are conducted most weekdays from the James S Brady Press Briefing Room in the West Wing,471,31,5020,0,400
1I5ZMmrOfnA,How Computers Calculate  the ALU Crash Course Computer Science 5,Take the 2017 PBS Digital Studios Survey httpsurveymonkeycomrpbsds2017 Today were going to talk about a fundamental part of all modern computers,1412,10,14220,0,211
fLQB5AUNc6A,Analysing Nigeria Senegal Face Off In London Pt 1,For more information log on to httpwwwchannelstvcom,0,0,133,0,0
3DMB5SWcnmc,TRUMPHATER PAUL RYAN CRUSHED IN NEW POLL THAT DONALD TRUMP IS CELEBRATING  THIS IS GREAT,Sub for more httpnnnisthenewmedia  Jack Davis for westernjournalism reports As the battle to replace Obamacare moves into its next phase President ,957,11,6776,0,172
4ZVoCnCAVuA,Theresa Mays statement in full  video,Watch Theresa Mays statement in reaction to the Westminster terror attack in full,77,16,744,0,62
jYgzODJh8CM,LOOKS LIKE IM MOVING,Get YOUR pair of Maverick Socks HERE ▻ httpwwwFeatsockscomLogan Watch the bad news Vlog ▻ httpsyoutubeGgL0Rh9O3V8 This place is SICK,71215,314,470216,0,7880
SKCgeHAmMaI,Photos That Will Make You Feel Old,Link To Article httpsgoogluhlCyI In this Reaction Time Episode I reacted to a compilation of photos that will make you feel old Essentially this is all just a ,12677,406,130820,0,4687
LPYxJdwVgGs,Black Child Was Sold By White Kids At School,The Dr Boyce Watkins Channel is an allblack news and commentary channel that features a number of African American thinkers commentators and speakers,332,20,3520,0,159
oVyrqe1rAiE,Trump Previously Supported Free Healthcare  Make Him Support It Now,Watch More At httpswwwcspanorgvideoc4661377031617budgethealthcare1 Follow Kyle on Twitter httpwwwtwittercomkylekulinski Heres The ,1246,19,11360,0,368
WJyJJSWIFps,Cleveland Cavaliers vs Denver Nuggets,httpswwwfacebookcomgroupsALLNBAGAMES httpswatchnbacompackages,22,0,215,0,0
JL49avcstpI,Scientists can now predict age Alzheimer’s disease sets in,International effort being made by group of scientists to develop test that could help predict age of person when they may begin showing signs of Alzheimers ,42,3,450,0,35
FplaYgmvg9Y,White House discusses House opposition to AHA,White House Press Secretary Sean Spicer said the administration is optimistic after members of the House Freedom Caucus endorsed the health care bill,42,32,592,0,114
tcC1JSEssfE,Devin Nunes Trump Communications ‘Incidentally’ Collected By Intelligence Agencies  NBC News,Devin Nunes the Chairman of the House Intelligence Committee tells press he has been notified that Trump team communications have been “incidentally” ,105,18,1230,0,268
gBoMpC6AIN8,Londons Metropolitan Police on UK Parliament attack,Mark Rowley head of counterterrorism for the London Metropolitan Police holds a news conference on the UK Parliament attack,493,52,3815,0,727
nPIdEqVzjdk,Westminster attack witness I saw six to seven people lying down,The terror attack on Londons Westminster Bridge and the UK Parliament came in broad daylight when many people were out and about in central London,59,22,648,0,227
4p5uQuP_diU,Father Crucified His Son In Public ft DavidSoComedy,httpwwwgoforbrokecom A father crucified his tenyearold son in the street because he refused to do his homework Asian Parenting News ,2427,58,22365,0,491
wEG32DoWP8I,Im A Mermaid  Cookieswirlc Minecraft Game Lets Play Swimming Underwater Oceancraft Gaming Video,Its time for Cookieswirlc to play some Minecraft again Enjoy as I explore under the water and check out sea animals like sharks whales and turtles I hope I ,3230,147,30393,0,1783
QZ9niYeaKLM,Politics Today Assessing Senate Actions And CG Treatment Pt 2,For more information log on to httpwwwchannelstvcom,0,0,162,0,1
-PLkX05tgj0,DEVIN NUNES PRESS CONFERENCE ON “INAPPROPRIATE SURVEILLANCE” ON PRESIDENTELECT TRUMP,DEVIN NUNES CONFIRMS PRESIDENTELECT TRUMP WAS SURVEILED DEVIN NUNES CONFIRMS PRESIDENTELECT TRUMP WAS SURVEILLED ,124,11,1454,0,140
QDyZQg3J6Uc,Scotland Yard At least four dead in London terror attack,Police officer knife attacker among the dead,458,50,3556,0,979
ejlg4Cfgeso,How debating pushed my limits and how it can push yours  Floris Holstege  TEDxYouthHNLBilthoven,Floris Holstege student at Leiden University has a passion for debating and in this TEDxtalk he shows how much debating can influence your life in a positive ,8,0,153,0,2
CPwwlTC1z48,Das Urteil zu Episode 72  NEO MAGAZIN ROYALE mit Jan Böhmermann  ZDFneo,Griechenland ist eingezogen in Jannis YouTubeZimmer  er hat nämlich ne ordentliche Portion Gyros intus Von den Nachwirkungen könnt ihr euch im ,847,37,7947,0,110
hJvHtrlBs-w,PARTYS OVER PHILLY JUST GAVE EVERY MEXICAN BAD NEWS FOR “CINCO DE MAYO” BECAUSE OF TRUMP,Sub for more httpnnnisthenewmedia  The Conservative Tribune reports The city of Philadelphia cancelled its largest Cinco de Mayo event El Carnaval ,1623,49,13376,0,617
WrUGZHJ_riw,Sarah Palin Says Trump Should Fire ClintonLoving FBI Director,Sarah Palin took to Facebook earlier this week to tell Donald Trump to get rid of FBI director James Comey because the man is clearly an agent of Hillary Clinton ,470,33,3519,0,193
Rf2QNAAO1k4,TRYING FUNNY PRANKS,New Podcast Episode iTunes httpsitunesapplecomuspodcastshaneandfriendsid658136421mt2 SoundCloud ,52140,406,472842,0,6278
qDFbhFYMu4E,Parliament under attack,Four people have been killed  one of them a police officer after a terrorist attack at Westminster,250,38,10805,0,163
7HqU1aFNP8E,Nunes on Trumps personal communcations,House Intelligence Chairman Devin Nunes said that President Donald Trumps personal communications may have been picked up by investigators through ,188,62,5198,0,578
e1iVdrEIKUc,Suspect used vehicle as weapon in London attack,Benjamin Hall reports,179,23,9986,0,490
zgYQqwBgQSI,Ocean Conference – first step for governments to commit to save oceans by 2030,Ahead of the firstever UN conference on oceans Swedish Deputy Prime Minister Isabella Lövin says the international community should share knowledge ,2,1,65,0,1
8xwyqHAWawY,Come nose to nose with Budweisers newborn Clydesdale,Meet Jake Budweisers 2day old Clydesdale foal,12,0,234,0,1
VtEz57_KZGk,Breaking  PRESIDENT TRUMP WAS WIRE TAPPED more of his Team Unmasked,House Intelligence Chairman Devin Nunes said Wednesday that President Donald Trumps personal communications may have been picked up by investigators ,263,24,8668,0,227
8x_y8wjgNIg,How the GOP health care bill vote affects the markets tax reform,32 Advisors CEO Robert Wolf discusses how the GOP health care vote affects the markets and tax reform,3,0,176,0,2
aUsuHIWp4N0,Police confirm a number of casualties after incident at Westminster,London Metropolitan Police said that there were a number of casualties after a terrorist incident near Britains parliament on March 22,198,40,43169,0,91
gjlyTtvDTUI,Attack near UK Houses of Parliament being treated as terrorism Police,Londons Metropolitan Police said an apparent attack near the Houses of Parliament in which an assailant apparently plowed a car into pedestrians and an ,183,37,10057,0,453
dwPK9DUHTuY,If Kaelyn Was Invisible,This weeks theme on SevenSuperGirls is The Invisible  Who doesnt like a good prank Imagine being able to prank someone without a chance of ,3263,144,30627,0,1299
_kCWURLtjpQ,You Can Play As E V E R Y T H I N G    ,ヅYou can play as practically anything in this game its coolヅ httpwwweverythinggamecom,101814,1977,579126,0,13883
WUsdcvBk4gY,XO Manowar Vs Eternal Warrior Homecoming  Complete Story,This Book httpamznto2nn6mwK The New Story ,876,13,8358,0,67
P3YjW9fPd7E,Lollapalooza offers 170 acts for the 2017 festival,Tickets for 2017s Lollapalooza Music Festival went on sale and this years festival is offering a massive line up including historymaking artist Chance the ,6,0,204,0,0
ZDQOija6pX0,SECONDS AGO RAND PAUL MADE A KILLER PREDICTION ABOUT RINOCARE THAT WILL END PAUL RYAN’S SICK PLANS,Sub for more httpnnnisthenewmedia  MALLORY SHELBOURNE for The Hill reports Sen Rand Paul RKy on Sunday said he does not believe ,1238,25,16608,0,219
5LKXI_G3pz4,Gorsuch Not Empathetic Enough To Be SCOTUS Judge  The View,,254,33,15327,0,92
AqnY8drwpIk,RIP “Gong Show” Host Chuck Barris,,30,2,1051,0,13
giqBDTGZBns,Westminster attack Terrorist incident outside UK parliament,Westminster attack Terrorist incident outside UK parliament A police officer has been stabbed and several people injured following an attack outside ,491,121,82320,0,1416
MVfNM5unUS0,Three Popaholic Women  a Pilar Cyst,A Pilar Cyst aka a trichilemmal cyst an isthmuscatagen cyst or a “wen” looks identical on examination to the more common epidermoid cyst except that 90 ,2108,125,46713,0,311
vA8IhBWu6fE,Breaking Terror Attack In London,Live Feed Httpwwwinfowarscomshow,2729,110,44655,0,2193
Tbbchc46wTg,Witness to Westminster Bridge incident in London shares his story,Ismaill Hassan 45 tells a Reuters reporter about what he saw Wednesday on Westminster Bridge in London describing a car which seemed to take off ,36,5,14168,0,56
wYsuOpmXtZE,BKP The Reason Why I Think the Freedom Caucus Should Support President Trumps Health Care Bill,I was strongly against the bill when it first came out I sided with Senator Rand Paul Ted Cruz and the Freedom Caucus I agreed with the labels Obama Care ,0,2,50,0,0
8estRFW1ug0,Jason Chaffetz finds out FBI illegally uses facial recognition software on almost every American,Jason Chaffetz finds out FBI illegally uses facial recognition software on almost every American original air date 3222017 jason chaffetz fights for president ,839,11,7960,0,306
d2J8e2ktyOM,Witness I saw people on street mowed down,Radek Sikorski recalls the firearm incident that has occurred near the British Parliament in London putting the entire Westminster area on lockdown,255,202,77021,0,722
I1wSzqHlZJM,Ellen Surprises Superfan Sorority Sisters,A group of Ellens biggest New York fans got an awesome surprise – complete with a highstakes game of flip cup,2448,81,39659,0,0
ONYq7PyWFLc,BOOM TRUMP STEALS SHOW DURING COMEY TESTIMONY WITH 1 DEVASTATING TWEET,Sub for more httpnnnisthenewmedia  The Conservative Tribune reports All eyes were on Capitol Hill Monday for the House Intelligence Committee ,2089,49,27718,0,503
_Diso9nKWHo,Rachel Maddow Talks Releasing Pres Trumps 2005 Tax Returns  The View,,579,116,35371,0,279
JxtEL8XCW2g,LONDON TERRORIST ATTACK BREAKING NEWS,Everyone has been herded into meeting rooms says a witness currently on lockdown at the Houses of Parliament,261,30,26914,0,736
zS9UW2xjdqE,Death Note  Teaser HD  Netflix,What if you had the power to decide who lives and who dies We suggest you obey the rules Based on the famous Japanese manga written by Tsugumi Ohba ,52817,15800,901627,0,17318
mbBbyVpw7SE,Kyle  Corin 32  Body Hair Economic Crash Supreme Court Zits Art Memes,,414,19,5042,0,321
U7qku6NqlPg,Sears Kmart doubt they can stay in business,Sears and Kmart warned investors that substantial doubt exits over their future,18,1,1670,0,16
EkltyS6Eods,US maintaining highest level of engagement with S Korea on N Korea Yun,조셉윤 틸러슨 사드보복 우려스럽다 中에 전달 Top nuke envoys from South Korea and the US met to discuss Pyongyangs nuclear issue Connie Kim fills us ,1,0,249,0,1
oiSDe_vWQNA,Trumps Supreme Court pick starts confirmation hearing,Trumps Supreme Court pick starts confirmation hearing The confirmation hearing for Donald Trumps Supreme Court nominee Neil Gorsuch has begun,31,3,2345,0,10
t8XAHMwTPkA,French presidential TV debate does little to convince voters,No winner on the night  that was the verdict by most viewers following a televised debate between Frances five leading presidential candidates That is not to ,11,1,3282,0,16
d7ney5B9d1Y,FBI Director Reveals Russia Election Investigation,Controversy over President Trumps bombshell accusation President Obama wiretapped him during the 2016 election took a new turn Monday as FBI Director ,3,1,223,0,1
Q_kq84r4lqo,Trump vs Obama on the golf course,After slamming Barack Obama for golfing President Trump golfs 10 times in 2 months Jeanne Moos wonders if thats par for the course,255,135,17585,0,487
KaTxfdwDi4Q,Hearing on Russian Interference in the Election  The New York Times,The House Permanent Select Committee on Intelligence is holding the first public hearing on Russias efforts to influence the election Subscribe to the Times ,308,52,16367,0,56
RtSgxzbsjao,Judge Neil Gorsuch Senate Confirmation Hearing  TIME,The Senate Judiciary Committee begins hearings for Supreme Court Nominee Judge Neil Gorsuch Subscribe to TIME ▻▻ httppostSubscribeTIME Get ,62,7,6577,0,36
f3xjSMmQiho,Tom Bradys missing jersey has been found,The NFL announced on Monday that Tom Bradys jersey from Super Bowl LI has been found after an international investigation,7,3,2571,0,15
PyiYeJ8_mcY,Supreme Court confirmation hearings begin,ABC News Terry Moran reports on the expectations for Judge Neil Gorsuchs confirmation hearings and what is at stake for the Supreme Court,8,1,2066,0,7
u6fBm5pS0Cs,Attorney What Neil Gorsuch sees that Justice Scalia did not,Former deputy assistant attorney general Tom Dupree explains,168,7,5677,0,88
k0omknhzjJ8,Sunshine fire just west of Boulder over 100 acres forces evacuations,Sunshine fire just west of Boulder over 100 acres forces evacuations The Sunshine fire just west of Boulder grew to over 100 acres Sunday morning forces ,5,1,1720,0,7
